"Title","Year","main_genre","Subgenre 1","Subgenre 2","main_origin","Director","IMDB.rating","Rating.count","rating","writer","star","budget","gross","company","runtime"
"Braveheart",1995,"Drama","Biography","War","USA","Mel Gibson",8.4,871297,"R","Randall Wallace","Mel Gibson",7.2e+07,213216216,"Icon Entertainment International",178
"Reservoir Dogs",1992,"Drama","Thriller","Crime","USA","Quentin Tarantino",8.3,798275,"R","Quentin Tarantino","Harvey Keitel",1200000,2913644,"Live Entertainment",99
"Star Wars: Episode VI - Return of the Jedi",1983,"Adventure","Fantasy","Action","USA","Richard Marquand",8.3,836522,"PG","Lawrence Kasdan","Mark Hamill",32500000,475106177,"Lucasfilm",131
"Amadeus",1984,"Drama","Biography","History","France","Milos Forman",8.3,327416,"PG","Peter Shaffer","F. Murray Abraham",1.8e+07,52066791,"AMLF",160
"Requiem for a Dream",2000,"Drama",NA,NA,"USA","Darren Aronofsky",8.3,682068,"Unrated","Hubert Selby Jr.","Ellen Burstyn",4500000,7390108,"Artisan Entertainment",102
"Eternal Sunshine of the Spotless Mind",2004,"Drama","Romance",NA,"USA","Michel Gondry",8.3,801164,"R","Charlie Kaufman","Jim Carrey",2e+07,74036715,"Focus Features",108
"Toy Story",1995,"Comedy","Adventure","Animation","USA","John Lasseter",8.3,765250,"G","John Lasseter","Tom Hanks",3e+07,394436586,"Walt Disney Pictures",81
"Inglourious Basterds",2009,"War","Drama","Adventure","USA","Quentin Tarantino",8.3,1082811,"R","Quentin Tarantino","Brad Pitt",7e+07,321457747,"Universal Pictures",153
"Full Metal Jacket",1987,"Drama","War",NA,"USA","Stanley Kubrick",8.3,590594,"R","Stanley Kubrick","Matthew Modine",3e+07,46357676,"Natant",116
"Good Will Hunting",1997,"Drama","Romance",NA,"USA","Gus Van Sant",8.3,743204,"R","Matt Damon","Robin Williams",1e+07,225933435,"Miramax",126
"Toy Story 3",2010,"Comedy","Adventure","Animation","USA","Lee Unkrich",8.3,660322,"G","John Lasseter","Tom Hanks",2e+08,1066970811,"Walt Disney Pictures",103
"Scarface",1983,"Drama","Crime",NA,"USA","Brian De Palma",8.3,644950,"R","Oliver Stone","Al Pacino",2.5e+07,65884703,"Universal Pictures",170
"L.A. Confidential",1997,"Drama","Thriller","Mystery","USA","Curtis Hanson",8.3,482362,"R","James Ellroy","Kevin Spacey",3.5e+07,126216940,"New Regency Productions",138
"Indiana Jones and the Last Crusade",1989,"Adventure","Fantasy","Action","USA","Steven Spielberg",8.2,615110,"PG-13","Jeffrey Boam","Harrison Ford",4.8e+07,474171806,"Paramount Pictures",127
"Up",2009,"Adventure","Comedy","Animation","USA","Pete Docter",8.3,817536,"PG","Pete Docter","Edward Asner",1.75e+08,735099102,"Pixar Animation Studios",96
"Batman Begins",2005,"Adventure","Action","Thriller","USA","Christopher Nolan",8.3,1160328,"PG-13","Bob Kane","Christian Bale",1.5e+08,373661946,"Warner Bros.",140
"Unforgiven",1992,"Drama","Western",NA,"USA","Clint Eastwood",8.2,331944,"R","David Webb Peoples","Clint Eastwood",14400000,159157447,"Warner Bros.",130
"Die Hard",1988,"Action","Thriller",NA,"USA","John McTiernan",8.2,701825,"R","Roderick Thorp","Bruce Willis",2.8e+07,141603197,"Twentieth Century Fox",132
"Heat",1995,"Drama","Thriller","Crime","USA","Michael Mann",8.2,511042,"R","Michael Mann","Al Pacino",6e+07,187436818,"Warner Bros.",170
"Incendies",2010,"Drama","War","Mystery","Canada","Denis Villeneuve",8.2,118365,"R","Denis Villeneuve","Lubna Azabal",6800000,7099598,"micro_scope",131
"Raging Bull",1980,"Drama","Biography","Sport","USA","Martin Scorsese",8.2,280338,"R","Jake LaMotta","Robert De Niro",1.8e+07,23402427,"Chartoff-Winkler Productions",129
"Bohemian Rhapsody",2018,"Drama","Biography","Music","USA","Bryan Singer",8.3,160843,"PG-13","Anthony McCarten","Rami Malek",5.2e+07,911902649,"Twentieth Century Fox",134
"Ran",1985,"Drama","Action",NA,"France","Akira Kurosawa",8.2,97041,"R","Akira Kurosawa","Tatsuya Nakadai",11500000,4164283,"Greenwich Film Productions",162
"A Beautiful Mind",2001,"Drama","Biography",NA,"USA","Ron Howard",8.2,748421,"PG-13","Akiva Goldsman","Russell Crowe",5.8e+07,316791257,"Universal Pictures",135
"Casino",1995,"Drama","Crime",NA,"France","Martin Scorsese",8.2,402926,"R","Nicholas Pileggi","Robert De Niro",5.2e+07,116112375,"Universal Pictures",178
